"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "JavaScript React", "XML", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"d:\REACT JS\Projects\social_media\backend\DB\db.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 0, 11
"d:\REACT JS\Projects\social_media\backend\controllers\auth.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 2, 10, 42
"d:\REACT JS\Projects\social_media\backend\controllers\post.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 12, 22, 125
"d:\REACT JS\Projects\social_media\backend\controllers\users.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 10, 26, 128
"d:\REACT JS\Projects\social_media\backend\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 2, 6, 30
"d:\REACT JS\Projects\social_media\backend\middware\JWTAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT JS\Projects\social_media\backend\models\Post.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\REACT JS\Projects\social_media\backend\models\Users.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 2, 4, 79
"d:\REACT JS\Projects\social_media\backend\package-lock.json", "JSON", 1808, 0, 0, 0, 0, 0, 0, 0, 1, 1809
"d:\REACT JS\Projects\social_media\backend\package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\REACT JS\Projects\social_media\backend\routes\auth.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"d:\REACT JS\Projects\social_media\backend\routes\post.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\REACT JS\Projects\social_media\backend\routes\users.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 6, 10, 25
"d:\REACT JS\Projects\social_media\package-lock.json", "JSON", 11976, 0, 0, 0, 0, 0, 0, 0, 1, 11977
"d:\REACT JS\Projects\social_media\package.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\REACT JS\Projects\social_media\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 13, 4, 36
"d:\REACT JS\Projects\social_media\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\REACT JS\Projects\social_media\public\style.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\REACT JS\Projects\social_media\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT JS\Projects\social_media\src\App.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 12, 54
"d:\REACT JS\Projects\social_media\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\REACT JS\Projects\social_media\src\Components\CloseFrideds\CloseFriends.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\REACT JS\Projects\social_media\src\Components\CloseFrideds\CloseFriends.jsx", "JavaScript React", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"d:\REACT JS\Projects\social_media\src\Components\FeedPost\FeedPost.jsx", "JavaScript React", 0, 0, 0, 0, 0, 66, 0, 1, 7, 74
