"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\README.md", "Markdown", 0, 0, 0, 0, -38, 0, 0, -33, -71
"d:\REACT JS\Projects\social_media\backend\DB\db.js", "JavaScript", 0, -9, 0, 0, 0, 0, -2, 0, -11
"d:\REACT JS\Projects\social_media\backend\controllers\auth.js", "JavaScript", 0, -30, 0, 0, 0, 0, -2, -10, -42
"d:\REACT JS\Projects\social_media\backend\controllers\post.js", "JavaScript", 0, -91, 0, 0, 0, 0, -12, -22, -125
"d:\REACT JS\Projects\social_media\backend\controllers\users.js", "JavaScript", 0, -92, 0, 0, 0, 0, -10, -26, -128
"d:\REACT JS\Projects\social_media\backend\index.js", "JavaScript", 0, -22, 0, 0, 0, 0, -2, -6, -30
"d:\REACT JS\Projects\social_media\backend\middware\JWTAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\REACT JS\Projects\social_media\backend\models\Post.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, -2, -23
"d:\REACT JS\Projects\social_media\backend\models\Users.js", "JavaScript", 0, -73, 0, 0, 0, 0, -2, -4, -79
"d:\REACT JS\Projects\social_media\backend\package-lock.json", "JSON", 0, 0, 0, -1808, 0, 0, 0, -1, -1809
"d:\REACT JS\Projects\social_media\backend\package.json", "JSON", 0, 0, 0, -22, 0, 0, 0, -1, -23
"d:\REACT JS\Projects\social_media\backend\routes\auth.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -4, -11
"d:\REACT JS\Projects\social_media\backend\routes\post.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, -2, -13
"d:\REACT JS\Projects\social_media\backend\routes\users.js", "JavaScript", 0, -9, 0, 0, 0, 0, -6, -10, -25
"d:\REACT JS\Projects\social_media\package-lock.json", "JSON", 0, 0, 0, -11976, 0, 0, 0, -1, -11977
"d:\REACT JS\Projects\social_media\package.json", "JSON", 0, 0, 0, -48, 0, 0, 0, -1, -49
"d:\REACT JS\Projects\social_media\public\index.html", "HTML", 0, 0, 0, 0, 0, -19, -13, -4, -36
"d:\REACT JS\Projects\social_media\public\manifest.json", "JSON", 0, 0, 0, -25, 0, 0, 0, -1, -26
"d:\REACT JS\Projects\social_media\public\style.css", "CSS", 0, 0, -4, 0, 0, 0, 0, 0, -4
"d:\REACT JS\Projects\social_media\src\App.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\REACT JS\Projects\social_media\src\Components\FeedPost\FeedPost.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 3, 6, 20
"d:\REACT JS\Projects\social_media\src\Components\feed\FeedSection.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 1, 0, 2
"d:\REACT JS\Projects\social_media\src\Components\rightbar\RightBar.jsx", "JavaScript React", 45, 0, 0, 0, 0, 0, 2, 13, 60
"d:\REACT JS\Projects\social_media\src\Components\rightbar\rightbar.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\REACT JS\Projects\social_media\src\Components\share\ShareComponet.jsx", "JavaScript React", 35, 0, 0, 0, 0, 0, 1, 5, 41
"d:\REACT JS\Projects\social_media\src\Context\AuthAction.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\REACT JS\Projects\social_media\src\Context\AuthContext.js", "JavaScript", 0, -13, 0, 0, 0, 0, 30, 1, 18
"d:\REACT JS\Projects\social_media\src\Context\AuthReducer.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"d:\REACT JS\Projects\social_media\src\apiCalls\apicall.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\REACT JS\Projects\social_media\src\pages\Profile\Profile.jsx", "JavaScript React", -1, 0, 0, 0, 0, 0, 1, 0, 0
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\RegisterPage.jsx", "JavaScript React", 1, 0, 0, 0, 0, 0, 1, 1, 3
"Total", "-", 92, -349, 12, -13879, -38, -19, -10, -98, -14289
