"filename", "language", "JavaScript", "JavaScript React", "JSON", "CSS", "comment", "blank", "total"
"d:\REACT JS\Projects\social_media\backend\controllers\post.js", "JavaScript", 2, 0, 0, 0, 0, 1, 3
"d:\REACT JS\Projects\social_media\backend\controllers\users.js", "JavaScript", 25, 0, 0, 0, 42, 10, 77
"d:\REACT JS\Projects\social_media\backend\index.js", "JavaScript", 21, 0, 0, 0, 2, -1, 22
"d:\REACT JS\Projects\social_media\backend\package-lock.json", "JSON", 0, 0, 193, 0, 0, 0, 193
"d:\REACT JS\Projects\social_media\backend\package.json", "JSON", 0, 0, 2, 0, 0, 0, 2
"d:\REACT JS\Projects\social_media\backend\routes\users.js", "JavaScript", 3, 0, 0, 0, 2, 5, 10
"d:\REACT JS\Projects\social_media\src\App.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"d:\REACT JS\Projects\social_media\src\Components\FeedPost\FeedPost.jsx", "JavaScript React", 0, 11, 0, 0, 3, 6, 20
"d:\REACT JS\Projects\social_media\src\Components\feed\FeedSection.jsx", "JavaScript React", 0, 1, 0, 0, 1, 0, 2
"d:\REACT JS\Projects\social_media\src\Components\rightbar\RightBar.jsx", "JavaScript React", 0, 45, 0, 0, 2, 13, 60
"d:\REACT JS\Projects\social_media\src\Components\rightbar\rightbar.css", "CSS", 0, 0, 0, 16, 0, 0, 16
"d:\REACT JS\Projects\social_media\src\Components\share\ShareComponet.jsx", "JavaScript React", 0, 35, 0, 0, 1, 5, 41
"d:\REACT JS\Projects\social_media\src\Context\AuthAction.js", "JavaScript", 8, 0, 0, 0, 0, 1, 9
"d:\REACT JS\Projects\social_media\src\Context\AuthContext.js", "JavaScript", -13, 0, 0, 0, 30, 1, 18
"d:\REACT JS\Projects\social_media\src\Context\AuthReducer.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"d:\REACT JS\Projects\social_media\src\apiCalls\apicall.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"d:\REACT JS\Projects\social_media\src\pages\Profile\Profile.jsx", "JavaScript React", 0, -1, 0, 0, 1, 0, 0
"d:\REACT JS\Projects\social_media\src\pages\RegisterPage\RegisterPage.jsx", "JavaScript React", 0, 1, 0, 0, 1, 1, 3
"Total", "-", 67, 92, 195, 16, 85, 46, 501
